日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2024-03-09,多摩川,5,一般,4,5116,金子七海,23,福井,44,B2,3.56,18.52,2.44,0.0,22,35.33,45,31.28,晴,北西,3,2,6.66,6,逃げ,5,0.37,.  .,0.1792857142857142,0.17575,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,多摩川,5,一般,5,4103,山崎善庸,44,埼玉,54,B1,4.52,24.42,4.66,21.31,40,37.57,31,40.0,晴,北西,3,2,6.65,4,逃げ,4,0.36,1.53.0,0.2324242424242424,0.2224479166666666,0.15384615384615385,0.38461538461538464,0.15384615384615385,0.11538461538461539,0.0,0.0,0.0,0.0,0.3076923076923077,0.15384615384615385,0.19230769230769232
2024-03-09,多摩川,5,一般,6,3246,星野政彦,59,兵庫,55,B1,3.96,23.53,3.48,12.0,73,34.86,60,29.78,晴,北西,3,2,6.66,5,逃げ,6,0.38,.  .,0.1573333333333333,0.1702994011976048,0.05263157894736842,0.23684210526315788,0.18421052631578946,0.0,0.5526315789473685,0.0,0.02631578947368421,0.0,0.0,0.0,0.0
2024-03-09,多摩川,6,一般,1,4128,川口貴久,43,東京,56,B1,5.42,33.33,5.15,35.62,26,31.52,86,33.54,晴,北,3,2,6.77,1,逃げ,1,0.13,1.49.5,0.1308695652173913,0.1339130434782608,0.1282051282051282,0.20512820512820512,0.05128205128205128,0.0,0.0,0.0,0.05128205128205128,0.02564102564102564,0.0,0.0,0.0
2024-03-09,多摩川,6,一般,2,4976,金山立樹,30,東京,53,B1,5.11,26.04,4.11,19.83,24,39.63,50,38.37,晴,北,3,2,6.77,4,逃げ,2,0.19,1.52.9,0.1923684210526316,0.1862439024390244,0.03571428571428571,0.07142857142857142,0.21428571428571427,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0
2024-03-09,多摩川,6,一般,3,3502,渡邉英児,54,静岡,53,A2,5.09,37.04,5.3,31.82,21,41.86,87,40.7,晴,北,3,2,6.74,3,逃げ,3,0.29,1.52.2,0.1627083333333333,0.1783566433566433,0.029411764705882353,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0
2024-03-09,多摩川,6,一般,4,4323,山田佑樹,37,岡山,54,A2,5.09,28.41,0.0,0.0,42,33.33,61,39.29,晴,北,3,2,6.68,2,逃げ,4,0.24,1.49.9,0.1578947368421052,0.1575845410628019,0.0,0.03225806451612903,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,多摩川,6,一般,5,4592,小林孝弘,43,山口,51,B1,4.45,23.16,5.71,37.5,18,38.55,26,30.29,晴,北,3,2,6.75,6,逃げ,5,0.27,.  .,0.1765714285714285,0.1647511312217194,0.2702702702702703,0.2972972972972973,0.13513513513513514,0.24324324324324326,0.0,0.0,0.0,0.0,0.32432432432432434,0.1891891891891892,0.16216216216216217
2024-03-09,多摩川,6,一般,6,3339,泉　具巳,58,兵庫,55,A2,4.82,30.11,5.65,47.06,29,43.56,34,38.64,晴,北,3,2,6.73,5,逃げ,6,0.23,.  .,0.1346153846153846,0.1450261780104712,0.0,0.3055555555555556,0.19444444444444445,0.0,0.6388888888888888,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,多摩川,7,一般,1,4303,牧原　崇,40,愛知,52,B1,5.24,34.04,3.58,8.33,60,32.74,74,35.06,晴,北東,5,2,6.86,3,差し,1,0.17,1.51.9,0.1755882352941176,0.1868918918918919,0.06521739130434782,0.08695652173913043,0.21739130434782608,0.0,0.0,0.021739130434782608,0.043478260869565216,0.0,0.0,0.0,0.0
