日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,勝利回数,出走数,2着回数,3着回数,逃げ,逃し,差し,まくり,まくり差し,差され,まくられ,まくり差され,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2025-02-07,鳴門,4,とにかくなる,3,4888,金児隆太,37,群馬,52,A2,5.84,40.74,6.31,50.0,77,33.49,77,35.03,晴,西,4,4,6.97,5,まくり,3,0.19,.  .,0.1699999999999999,0.1660323886639676,5,42,11,2,2,0,2,0,0,0,0,0,0.11904761904761904,0.2619047619047619,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0
2025-02-07,鳴門,4,とにかくなる,4,4818,伏見俊介,33,東京,56,B1,4.9,32.76,7.12,52.94,54,44.44,23,35.2,晴,西,4,4,6.92,1,まくり,4,0.06,1.48.2,0.1363157894736842,0.1187022900763358,4,19,3,3,0,0,2,2,0,0,0,0,0.21052631578947367,0.15789473684210525,0.15789473684210525,0.0,0.0,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.0
2025-02-07,鳴門,4,とにかくなる,5,4062,後藤陽介,45,愛知,57,B1,5.04,33.02,0.0,0.0,71,30.93,82,29.51,晴,西,4,4,7.04,3,まくり,5,0.16,1.50.9,0.1533333333333333,0.1541818181818182,5,36,7,4,0,0,1,2,2,0,0,0,0.1388888888888889,0.19444444444444445,0.1111111111111111,0.0,0.0,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0
2025-02-07,鳴門,4,とにかくなる,6,5275,松田淳平,22,三重,52,B1,4.5,23.75,4.71,14.29,21,45.1,62,31.89,晴,西,4,4,6.94,2,まくり,6,0.14,1.49.1,0.1593442622950819,0.1701595744680851,3,61,1,5,0,0,1,1,1,0,0,0,0.04918032786885246,0.01639344262295082,0.08196721311475409,0.0,0.0,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.0,0.0,0.0
2025-02-07,鳴門,5,予選,1,3900,香川素子,48,滋賀,47,A2,5.94,36.3,5.55,34.04,16,35.71,11,33.33,晴,西,3,3,6.96,3,まくり,1,0.28,1.51.0,0.1668627450980392,0.1668379446640316,38,51,5,1,34,0,0,0,0,3,5,4,0.7450980392156863,0.09803921568627451,0.0196078431372549,0.6666666666666666,0.0,0.0,0.0,0.0,0.058823529411764705,0.09803921568627451,0.0784313725490196
2025-02-07,鳴門,5,予選,2,4853,前原　哉,30,岡山,45,B1,4.88,27.27,5.62,46.15,79,39.06,81,32.43,晴,西,3,3,7.07,2,まくり,2,0.29,1.49.2,0.183921568627451,0.1931320754716981,7,51,10,9,0,24,4,3,0,0,0,0,0.13725490196078433,0.19607843137254902,0.17647058823529413,0.0,0.47058823529411764,0.0784313725490196,0.058823529411764705,0.0,0.0,0.0,0.0
2025-02-07,鳴門,5,予選,3,5013,山下夏鈴,27,三重,44,A2,4.73,28.24,4.82,32.14,69,37.26,29,34.93,晴,西,3,3,6.99,1,まくり,3,0.21,1.47.5,0.1617391304347826,0.1596680497925311,9,46,7,11,0,0,0,6,1,0,0,0,0.1956521739130435,0.15217391304347827,0.2391304347826087,0.0,0.0,0.0,0.13043478260869565,0.021739130434782608,0.0,0.0,0.0
2025-02-07,鳴門,5,予選,4,5057,上田紗奈,28,大阪,45,A2,5.34,40.26,5.22,44.44,26,33.52,80,30.98,晴,西,3,3,6.88,4,まくり,4,0.19,1.53.2,0.1536111111111111,0.1487564766839378,4,36,5,8,0,0,0,2,1,0,0,0,0.1111111111111111,0.1388888888888889,0.2222222222222222,0.0,0.0,0.0,0.05555555555555555,0.027777777777777776,0.0,0.0,0.0
2025-02-07,鳴門,5,予選,5,5171,清水未唯,24,滋賀,56,B1,4.1,28.85,3.97,21.62,19,32.62,17,29.79,晴,西,3,3,7.08,5,まくり,5,0.21,.  .,0.1709523809523809,0.1636764705882353,0,21,2,2,0,0,0,0,0,0,0,0,0.0,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,鳴門,5,予選,6,5324,畑田希咲,21,兵庫,50,B2,1.49,0.0,1.0,0.0,31,34.65,19,32.63,晴,西,3,3,6.92,6,まくり,6,0.15,.  .,0.2287499999999999,0.2107878787878788,0,88,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,鳴門,6,予選,1,3273,石田　豪,59,広島,52,B1,3.9,20.55,4.1,17.5,18,38.07,59,36.98,晴,西,3,3,6.86,5,差し,1,0.06,.  .,0.1521428571428571,0.1731693989071038,13,28,8,1,13,0,0,0,0,8,6,0,0.4642857142857143,0.2857142857142857,0.03571428571428571,0.4642857142857143,0.0,0.0,0.0,0.0,0.2857142857142857,0.21428571428571427,0.0
