日付,レース場,レース番号,レース種別,艇番,登録番号,選手名_x,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,選手名_y,出走数,勝利回数,2着回数,3着回数,平均ST,逃げ,差し,まくり,まくり差し,抜き,恵まれ,差され,まくられ,まくり差され,逃し,全体平均ST,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2022-01-09,尼崎,8,一般,1,4735,角山雄哉,31,兵庫,53,B1,4.22,17.89,3.97,17.2,61,34.42,72,31.29,晴,南,1,0,6.78,3,まくり差し,1,0.23,1.51.7,角山雄哉,32.0,7.0,9.0,2.0,0.1609375,7.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,9.0,0.0,0.1699567099567099,0.21875,0.28125,0.0625,0.21875,0.0,0.0,0.0,0.0,0.25,0.0625,0.28125
2022-01-09,尼崎,8,一般,2,4457,神田達也,36,愛知,51,B1,4.22,23.19,2.63,0.0,30,43.87,34,33.33,晴,南,1,0,6.83,4,まくり差し,2,0.17,1.51.8,神田達也,34.0,2.0,5.0,10.0,0.1847058823529412,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.2031746031746031,0.058823529411764705,0.14705882352941177,0.29411764705882354,0.0,0.3235294117647059,0.029411764705882353,0.0,0.0,0.0,0.0,0.0
2022-01-09,尼崎,8,一般,3,4843,深尾巴恵,29,群馬,47,B1,3.4,11.94,3.83,16.67,49,48.7,12,22.22,晴,南,1,0,6.77,6,まくり差し,3,0.21,1.55.2,深尾巴恵,25.0,2.0,2.0,3.0,0.2116,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1947402597402597,0.08,0.08,0.12,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
2022-01-09,尼崎,8,一般,4,4246,喜多那由,39,静岡,50,B1,4.67,24.18,2.6,0.0,22,29.93,50,28.48,晴,南,1,0,6.83,5,まくり差し,4,0.19,1.53.1,喜多那由夏,32.0,1.0,3.0,9.0,0.1878125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1871590909090908,0.03125,0.09375,0.28125,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0
2022-01-09,尼崎,8,一般,5,4293,鈴木智啓,36,愛知,60,A2,5.15,32.08,5.69,43.75,7,26.32,67,28.08,晴,南,1,0,7.05,1,まくり差し,5,0.16,1.48.8,鈴木智啓,34.0,5.0,1.0,6.0,0.165,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1568527918781725,0.14705882352941177,0.029411764705882353,0.17647058823529413,0.0,0.0,0.029411764705882353,0.0,0.11764705882352941,0.0,0.0,0.0
2022-01-09,尼崎,8,一般,6,5107,松本真広,22,福岡,50,B1,2.41,2.5,0.0,0.0,38,48.7,22,34.72,晴,南,1,0,6.81,2,まくり差し,6,0.11,1.50.0,松本真広,98.0,0.0,2.0,9.0,0.165204081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1668862275449102,0.0,0.02040816326530612,0.09183673469387756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-09,尼崎,9,一般特選,1,4332,村上彰一,38,福岡,57,A2,5.57,34.15,4.46,16.67,3,28.0,35,34.92,晴,南西,2,0,6.85,2,抜き,1,0.16,1.49.6,村上彰一,26.0,11.0,3.0,4.0,0.1526923076923077,10.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,3.0,0.0,0.1603191489361702,0.4230769230769231,0.11538461538461539,0.15384615384615385,0.38461538461538464,0.0,0.0,0.0,0.0,0.19230769230769232,0.11538461538461539,0.11538461538461539
2022-01-09,尼崎,9,一般特選,2,5016,宮田龍馬,23,兵庫,52,B1,5.33,28.89,4.02,18.87,24,36.6,45,31.33,晴,南西,2,0,6.81,1,抜き,2,0.15,1.48.6,宮田龍馬,42.0,6.0,13.0,7.0,0.1385714285714285,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.1522978723404255,0.14285714285714285,0.30952380952380953,0.16666666666666666,0.0,0.5238095238095238,0.07142857142857142,0.047619047619047616,0.023809523809523808,0.0,0.0,0.0
2022-01-09,尼崎,9,一般特選,3,3881,浦上拓也,48,大阪,54,A2,5.41,33.08,5.31,35.42,31,31.82,17,42.14,晴,南西,2,0,6.88,5,抜き,3,0.22,1.54.3,浦上拓也,48.0,7.0,8.0,10.0,0.1575,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1589615384615384,0.14583333333333334,0.16666666666666666,0.20833333333333334,0.0,0.0,0.0,0.0625,0.041666666666666664,0.0,0.0,0.0
2022-01-09,尼崎,9,一般特選,4,4668,楠本晃嗣,37,福岡,51,B1,3.61,14.06,0.0,0.0,52,31.37,23,22.07,晴,南西,2,0,6.84,3,抜き,4,0.17,1.51.7,楠本晃嗣,23.0,1.0,4.0,2.0,0.1860869565217391,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1859602649006622,0.043478260869565216,0.17391304347826086,0.08695652173913043,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0
