,original_index,日付,レース場,レース番号,正解1着艇,1号艇勝利確率,2号艇勝利確率,3号艇勝利確率,4号艇勝利確率,5号艇勝利確率,6号艇勝利確率,1号艇確率,2号艇確率,3号艇確率,4号艇確率,5号艇確率,6号艇確率
3446,17470,2024-09-10,浜名湖,8,1,0.36533486941590665,0.048603562957169916,0.04273175561316453,0.41652656386371045,0.10532856093409106,0.021474687215957303,0.9028574263206479,0.42950441977720877,0.17818056957018694,0.8368452696535356,0.39453439007691543,0.20530096415972973
3447,17471,2024-09-10,浜名湖,9,2,0.2213945184083439,0.1362133632626393,0.0953920231101255,0.211815418187357,0.2921941951668417,0.04299048186469263,0.8554243924535598,0.580016618148133,0.44934412995008843,0.5968604756255738,0.49231039037604346,0.13321182165505693
3448,17474,2024-09-10,福岡,3,3,0.20446108722163175,0.212959265355476,0.34013073551683315,0.1310170210705003,0.08077531176190218,0.03065657907365654,0.8073603341617004,0.621557110587198,0.812779095548517,0.3633232255556071,0.34863220820850643,0.11369045587837119
3449,17484,2024-09-10,芦屋,4,2,0.39355599295628607,0.13907955549728995,0.19387174418874506,0.06801122927349293,0.15559845493958288,0.04988302314460312,0.9494730553596059,0.5686063822544268,0.6266805185036846,0.33622549553977976,0.29019450115452056,0.14904058331071798
3450,17490,2024-09-10,若松,1,2,0.1703326303004959,0.0799930270014318,0.13005351749686023,0.23184884183623847,0.2711973093433587,0.11657467402161495,0.8027000926626937,0.4189694571466644,0.48787757522919223,0.46695663834827955,0.47742288479359885,0.23509319917949195
3451,17495,2024-09-10,若松,6,3,0.13577779838538168,0.4124767122060252,0.10376251030670487,0.03659575064905776,0.058130201841507946,0.2532570266113226,0.8185267477485861,0.8429615114545984,0.5368224945908587,0.15638827505112235,0.14571763592878462,0.4604024391731335
3452,17497,2024-09-10,若松,8,1,0.425839951094512,0.18499665965595746,0.14748370599747246,0.16681681263999623,0.04919949382698869,0.0256633767850731,0.9274815654298225,0.6674489915882688,0.6600292608165582,0.4328551836566094,0.14782327596748265,0.12968522604061108
3453,17503,2024-09-11,下関,5,1,0.14652139605171557,0.04346113537916886,0.20157731946465088,0.2882422399783714,0.1480235273767826,0.17217438174931066,0.8337423099909365,0.2797676089095225,0.5877395697756211,0.6048174413356124,0.31728650061912894,0.4091870681408389
3454,17512,2024-09-11,唐津,8,1,0.09597182904437604,0.4088927952337067,0.12621630110086218,0.23660752448682743,0.093060930790936,0.03925061934329162,0.7058260654460284,0.7733884834616378,0.4392205703285668,0.6312506853168933,0.19350426736612295,0.1438278003636159
3455,17516,2024-09-11,多摩川,3,1,0.07267257317755305,0.3129406659195104,0.14380345291739102,0.20996717653946817,0.22669370143964776,0.033922430006429555,0.6121666207702837,0.7398490331762787,0.4627131723540345,0.6841794315654552,0.4984236085773274,0.10969410084370625
3456,17518,2024-09-11,多摩川,5,2,0.058015533050618816,0.27876589326135504,0.1557929521056003,0.33017137563061394,0.17064912577570893,0.006605120176102888,0.5527652487698597,0.7996917834918787,0.5013555552941522,0.6714618534570598,0.48799760069308024,0.01788666529781091
3457,17520,2024-09-11,多摩川,7,1,0.1271825658280899,0.34997428879326614,0.11404262726387825,0.1403628183724703,0.022120725270398437,0.24631697447189707,0.7486642722728108,0.7542366549989579,0.48689750764301604,0.5021551269351074,0.08938229223161058,0.5673249675906934
3458,17537,2024-09-11,尼崎,7,1,0.14786913301340832,0.3361459903726436,0.09855438180897648,0.06042775204903047,0.21532441044183592,0.1416783323141053,0.7625331582201665,0.7157975371682471,0.4796646321731768,0.2292908818767773,0.40778698060884455,0.41249000611097614
3459,17542,2024-09-11,常滑,3,1,0.09155693237795375,0.20970356769601473,0.3588004559481449,0.10307216477102528,0.16381730069362277,0.07304957851323855,0.5958643825729554,0.5994392567958899,0.7529913322079024,0.44438683518532757,0.2932344449301601,0.2194783052886987
3460,17547,2024-09-11,常滑,8,4,0.06970774468973574,0.44031884940076704,0.08799873224465261,0.32061627810677673,0.04653417864156839,0.03482421691649942,0.5994445635311172,0.8319514722719482,0.41229972088463335,0.6998163394670618,0.10630161591829897,0.25223358979897287
3461,17566,2024-09-11,桐生,1,4,0.19033540256766696,0.11793983920988067,0.1889515731348449,0.20728272751929325,0.14412479065859862,0.15136566690971545,0.818887141456109,0.32309567221246066,0.6341401093442879,0.5009946070712198,0.3193880457101177,0.2219407269188977
3462,17571,2024-09-11,桐生,6,1,0.38570958161031127,0.11477049458297407,0.1633458662754428,0.14179912207954284,0.10656901992876128,0.08780591552296789,0.9379717900751843,0.6308326896378442,0.5643851244427447,0.3821493524271002,0.3268438096954002,0.19240010229375543
3463,17581,2024-09-11,津,7,1,0.3117158800245827,0.16197909733275095,0.14364702296410176,0.12324556791728501,0.041540274996908925,0.21787215676437058,0.8614689203474737,0.5187743007875315,0.4497867396097152,0.5848382956561043,0.232176031134578,0.4312158209685409
3464,17582,2024-09-11,津,8,4,0.3040577351049908,0.17154582963851928,0.1479799142940983,0.10104925173089105,0.10624551835928996,0.16912175087221065,0.8543320726145636,0.5481409692154111,0.42273709919560715,0.4706224408732899,0.33787123132326863,0.29815911242127086
3465,17588,2024-09-11,浜名湖,5,1,0.1172380969819385,0.036898896072106946,0.1999018713361073,0.13041751023749815,0.008260198159153636,0.5072834272131955,0.8234101569886894,0.3000356652248612,0.773689792711506,0.5924194433827928,0.01420598195836715,0.7753380648865278
3466,17595,2024-09-11,福岡,4,2,0.1758614838484304,0.09975253569690179,0.29851816378125423,0.11403995355649192,0.2871592265624099,0.02466863655451182,0.833877760883524,0.5376885318852431,0.7250888118031733,0.43426015032281795,0.610967116087133,0.09752383729731079
3467,17599,2024-09-11,福岡,8,2,0.37977124319482963,0.1075740258012168,0.17302293799645135,0.14301923910770456,0.10226798116629204,0.09434457273350574,0.7986701944472769,0.3403368958352698,0.5218941785681234,0.34834015946234465,0.29175462684510095,0.4192685361031592
3468,17605,2024-09-11,若松,5,1,0.30182253138708587,0.323570952198292,0.07676668529168694,0.19120307546192825,0.05958543048663632,0.04705132517437059,0.934586637719118,0.7946256860253942,0.41297042445500126,0.6075150761882298,0.1974725796149873,0.07288171026286516
3469,17609,2024-09-11,若松,9,1,0.22512523084958522,0.0724490620258294,0.17299123428345983,0.32682505449010674,0.10506745100996152,0.09754196734105729,0.8857257259700434,0.3898306028720241,0.4664394328188596,0.6488089976137092,0.20356716563559843,0.2764072478432291
3470,17612,2024-09-11,鳴門,3,1,0.3504264836092015,0.13442090491129463,0.07780820835318962,0.14599849471469867,0.13726730884995839,0.15407859956165706,0.9200052310235719,0.5490716018645213,0.4356001544341986,0.3504771958873941,0.3316417133003499,0.37633209763365094
